stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2:157:JDFS-5,,"Dolní Podluží,,Velveta 06",,50.8815975,14.61738065,366,,0,,Europe/Prague,0,
2:157:JDFS-6,,"Dolní Podluží,,žel.st.",,50.88676595,14.6197057,366,,0,,Europe/Prague,0,
2:157:JDFS-9,,"Chřibská,,škola",,50.8611431,14.48106765,361,,0,,Europe/Prague,0,
2:158:JDFS-10,,"Ústí n.L.,,Bělehradská",,50.6711089,14.0342436,101,,0,,Europe/Prague,0,
2:158:JDFS-11,,"Ústí n.L.,,Hilarova",,50.66668665,14.03648805,101,,0,,Europe/Prague,0,
2:158:JDFS-12,,"Ústí n.L.,,Na kopečku",,50.68474245,14.03991985,101,,0,,Europe/Prague,0,
2:158:JDFS-14,,"Ústí n.L.,,Elba",,50.67833835,14.0360198,101,,0,,Europe/Prague,0,
2:158:JDFS-17,,"Ústí n.L.,Kočkov",,50.68132015,14.0374365,101,,0,,Europe/Prague,0,
2:158:JDFS-18,,"Chuderov,Žežice",,50.6866531,14.0710011,101,,0,,Europe/Prague,0,
2:158:JDFS-2,,"Chabařovice,,záv.",,50.66376175,13.92966175,123,,0,,Europe/Prague,0,
2:158:JDFS-27,,"Srbice,,Staré Srbice",,50.6476974,13.8782959,401,,0,,Europe/Prague,0,
2:158:JDFS-28,,"Chabařovice,Roudníky,dílny",,50.66479,13.91793155,123,,0,,Europe/Prague,0,
2:158:JDFS-29,,"Chabařovice,Roudníky,Marie Antonie",,50.65526195,13.9149804,123,,0,,Europe/Prague,0,
